,COMMENTS
0,台灣刑責可以不要在保護一些垃圾人，不要在聽到有人被殺害了
1,支持死刑殺人的該處死好好的女孩就這樣沒了混蛋壞人
2,支持死刑
3,讀個書也會被殺死?...繼續廢死啊.....這種鳥事還會持續發生的....
4,這種人要鞭刑在送子彈
5,連健喜 
6,陳維淏 我覺得要做成人彘
7,要判處死刑 正常正規的人才有保障
8,支持死刑
9,廢物，好手好腳不會去賺喔。
10,死吧！
11,隨意剎人者一命抵一命，天經地義，(浪費國家資源，造成社會負擔，亡者在天之靈，家屬 切身之痛)
12,法官：有教化可能!
13,對加害者講人權，受害者及受害家屬卻沒有選擇的權利
14,這種人就應該活活的把他打死
15,畜生，快槍斃他不要浪費百姓＄去飬這畜生！
16,陳慶哲救他
17,誰來救我==
18,支持死刑
19,支持死刑！
20,怕殺生就不要去考法官啦 真的需要再把包大人找回來哈哈
21,支持死刑
22,連校園都不安全了，還有什麼地方是安全的，父母的心都碎了
23,所以像那些支持廢除死刑的人 像這種事情如果發生在他們的身上叫他們要怎麼接受 我反對廢除死刑
24,楊富吉吳泓毅小事ㄚ 在台灣這些是合法的 一下就放出來了
25,無言
26,還以為是GG癢勒
27,有不良前科還可以在校園工作？好好一個女孩子就這樣沒有了
28,那個  廢死聯盟的 換個角度想 今天這件事是發生在你女兒身上 你怎麼想 你養了24年的女兒還沒盡到孝道就走了 如果是你們廢死聯盟的人 你們會怎麼想。不要什麼都廢死 是要看他犯什麼錯吧！什麼都廢死 什麼都來搞個抗議就好 難怪人家瞧不起我們 你們要說廢死之前 想想我們國家是什麼局勢好嗎？有沒有資格講廢死？懂？
29,吧兩個處死
30,垃圾人 .. 別人含辛茹苦養大的孩子被你這樣害死
31,司法官員、 快一點速戰速決、死刑
32,死刑滅人渣，支持
33,廢死律師 救駕拉
34,楊哲 …………
35,這叫做腦羞成怒起殺機。
36,如果今天死者是挺廢死的呢？🤔🤔🤔🤔
37,支持死刑
38,現代女版廖添丁，快出任務處理！
39,誰會為女大生的父母親說話
40,真的很垃圾欸！乾脆判死刑好了
41,恐龍法官再去支援一下吧，司法根本不保護好人只保護壞人。法院為何不能設全民監審啊。。。
42,支持死刑
43,支持死刑加1
44,月筱妤 +1
45,所以⋯廢死的怎麼又不見了！！
46,好恐怖的世界😓
47,判死刑才符合人民期待
48,支持死刑
49,支持死刑
50,支持死刑  支持一命抵一命
51,支持死刑
52,父母的心都碎了，期待孩子長大孝順，卻發生這種事，為何呢？為何總對幼童和女人下手，怎麼忍心呢
53,支持死刑
54,操你媽
55,有教化可能！
56,支持死刑
57,為什麼再犯機率高的罪犯總是可以釋放回到社會呢？縱放的法官與為其辯護的律師，怎麼都沒連帶責任呢？可惡的是；等到年少生命殞落後，還是持續發生，持續發生，持續的發生！
58,電刷伺候！！！
59,用22k也只能請到這種清潔工作人員，可悲
