,COMMENTS
0,臺灣會被無能法官害死
1,廢物一個，可以直接槍斃啦！
2,該死刑了吧
3,研究所唉要花多少時間精力金錢栽培為了什麼不借2000就化為烏有！法務部有人可以回應ㄧ下嗎？
4,色胚 敢做不敢當 孬種
5,王八蛋
6,斃了他也浪費，槍子
7,應該還會再教化
8,廢死聯盟的，下次希望是你們家屬~
9,事在人為⋯希望不要再發生了
10,加1
11,+1
12,直接槍斃算了，還留下幹什麼？台灣一定要有嚴法不然社會問題，治安問題一次又一次的發生！廢死聯盟不要再靠北靠母的（別人的囡仔死不了）
13,慣性犯罪者 一律處死 否則後果不堪設想的 !!
14,又一個無辜的人死了。
15,可教化。趁著民進黨挾著人民選票，完全執政。國會過半，可保護罪大惡極的殺人犯，不會死。民進黨---當選。讚
16,難以想像她的父母傷心的程度!
17,該死的都不會死，不該死的都被殺死，這個社會造成的殺人共犯！！法院還有人權團體！！台灣有99.99%相信殺人要償命，剩下的到底為什麼左右我們多數的民意！！無法相信司法！
18,社會事件真的層出不窮⋯
19,已開發国家跟我们環境不同，—些白目人栓者跟人瞎搞，司法也跟着亂夽了。
20,好一個可教化....
21,可教化的結果？
22,這種人怎麼還活著(恐龍    讓人無言)
23,我不信這16年來他很乖，期間一定有過類似的行為只是受害者不敢報警或不報，讓他還想再犯
24,這種類似的事，重覆重覆再重覆，一直發生
25,殺人跟踩死一隻蟑螂簡單，只為了借錢不成殺人，這種人有必要與世隔絕，沒教化可能，直接判死，垃圾
26,恐龍法官存在這麽久了！
27,沒路用的司法
28,對啦！可教化改天就放出來了再殺幾個也沒關係，這就是台灣的法律
29,趕快判死刑 這種人放出來只會多一個無辜的受害者！
30,這麼年輕的生命
31,台灣殺人真的不用死
32,支持殺人者死，虐兒者死，不養這些人，日後出獄在傷害無辜人。
33,最不可教化的是恐龍
34,台灣司法沒救了 國際認可
35,😡你這個人渣
36,直接判決死刑！不然慢慢地一刀刀割下他的肉！太可惡了！
37,"在台灣這種人,關十幾年之後,又可以出來再害人,因為法官認為罪不該死,還可再教化,。"
38,可以拜託有殺人或犯罪衝動的人，可以針對廢死聯盟或恐龍法官的家人嗎？拜託拜託拜託🙏
39,該殺無赦，還要教化嗎？兩年多，一直同類事件發生，爛政府，警察先生辛勞，妳們這些高位者，竟然若無其事的。下台換人了
40,現在他媽的，在外面到哪都不安全，出門在外女孩子還是都結伴同行比較安全，現在只有在家才是安全的。
41,你看教化多有用！ 可以撐16年耶～應該可以再教化～
42,有道歉 抄佛經 有殘障手冊  可教化 免死       大家都知道流程了啦
43,真的是需要好好想想該怎麼處理這些人
44,現在只想著選舉
45,這種人判死刑啦😤
46,可教化的後果
47,這種社會敗類人渣就永遠關進去，不要再放出來害人啦🤬🤬🤬
48,不執行死刑，就是增加下一個被害人
49,真是牠馬的廢物怎麼不去弄蔡英文邱異淫啊同廢物
50,不去自殺自殺的勇氣都沒有
51,一定要判死刑，癈物。
52,所以說可教化個屁
53,這就是可教化？
54,犯人自己也有女兒耶😡😡😡
55,對啊⋯怎麼可以做出這種事
56,不可能為了2千塊~~
57,江山易改本性難移！可能幾年後又出來了
58,垃圾判死刑
