,COMMENTS
0,可惜又少一個美女
1,這個不死刑，全國學生會團結起來遊行抗議的。
2,判公開槍斃吧，亂世用重典
3,為了二千要人家的命？拿三千給他把他的小鳥割起來喂狗就好因為台灣的法律應該不會讓他死。
4,一個前途光明的人你為何能夠下手？他努力爬到碩士的位置你一個行為就讓她的努力化為烏有
5,校園清潔找派遣工，無法僱用正職工友，是否造成校園維安死角？
6,可能內情不簡單
7,借錢借不到，不可能會塞東西在對方嘴巴，他想幹嘛？我看大家都知道，不用多說了吧
8,張育士 這種渣男應該要讓他體會看看這種感覺
9,楊澤亞直接閹割，留著也沒用
10,閹割就像這樣
11,這圖好
12,閹割後再點火烤一烤，然後再拿去高價出售
13,坦白講，那種貨色賣沒錢
14,我覺得這種渣男應該要被動用私刑打到終身坐輪椅這樣才划算
15,司法縱容的
16,那種人憤恨社會，對自己絕望，對其可悲的生命早就不在乎，更何況對其他人的生命，
17,我出四千，讓大家揍一頓就好
18,他已經被收押
19,籌錢幫他交保，出來給他死
20,要慢慢虐待，
21,這種渣男也要讓他體會看看這種感覺
22,性侵就性侵 借你媽雞掰幹
23,俺相信法官會信這個說法
24,法官....令人堪憂~
25,請判死刑，不論他有任何理由，或身障都不足以原諒
26,殺人償命就這麼簡單，死刑 謝謝
27,"民進黨完全執政殺人算小事, 蔡英文說要幫小燈泡討公義有討嗎? 撞死三個人還能交保, 離開後還囂張按喇叭....等等. 恐龍法官還爽領我們的錢!"
28,這種都不會判死刑 ，這國家還有王法嗎？民進黨你們有看到嗎？這就是妳們執政的政績
29,用這種說法只不過想掩飾性侵的事實
30,Shui-sheng Shi 我也這麼覺得 掩飾他想性侵
31,根本就是個心理變態王八蛋
32,因為這樣進去關才不會被同房的玩阿
33,但大家都知道發生什麼事情所以還是會被同房的玩
34,如果真是為錢為何值錢的東西沒有拿走
35,沒錯
36,Shui-sheng Shi 報紙有說他有妨害性自主前科
37,這種垃圾 也可以進校園工作！
38,事實已證明 可以喔
39,黃餘金 這個都外包，而且會被剝削薪水，通常都是社會最底層的人肯做而已
40,為什麼要殺人，追根究底還不是那些法官整天有教化？整天教化出來，有樣學樣，真的是法官教化出來一堆原本不敢殺人的都殺看看。法官想當上帝給加害者機會，那到底誰要給那些受害者機會？
41,請 Google 一下
42,我不相信借錢、因為缺錢為什麼不把死者的皮包、手機拿去賣！
43,身穿象徵撒旦的倒五芒星圖騰衣服
44,那個...跟這個沒關係吧只是剛剛好那一件衣服而已吧，不然我也有一件等等會不會被帶走...
45,你民進黨的選票啊，還不快提倡。
46,應該是要性侵 一個失手掐死
47,明明就想騙人家尿尿的地方
48,幹你娘！人渣！人神共憤
49,台灣法律總是讓人有恃無恐，罪犯的靠山，從詐騙到殺人，從酒駕到毒害都是，根本不能殺雞儆猴，只會造成群起效尤，不排斥審理嚴謹，但這種罪證確鑿的人是不是應該重罰。
50,別投給民進黨.死刑有這麼難嘛?
51,以前僱用人可以查受僱人的前科資料，個資法以後，僱用人無法知道受僱人是前科累累的毒蟲或性侵犯，把這樣的人僱用在不適當的場所，出事是早晚的，該如何避免？
