,COMMENTS
0,身為一個媽媽該有多痛，真的好讓人揪心
1,Miya Hsu 不是媽媽也該有同理心，這麼冷血不配當人是畜牲😡😡
2,Ann Chien 雖然我沒經歷此事，但聽到這哭聲讓我由如心被用力的扭，真難過
3,鄭尹慈 真的很痛超痛
4,鄭尹慈 他不是媽媽～～看不見心中淌血的媽媽😭😭😭
5,小英總統聽到媽媽的吶喊聲了沒有？
6,Li Ta 我了解你的憤怒💢我也支持死刑👍
7,Nick Wang 小燈泡事件真的會讓人想打人。
8,Nick Wang 啊，我也不是針對你，不好意思。看到屢屢發生這種死者和殺人犯的人權極不平等的案件真的火都上來。
9,龙霸天 痾...這裡是臺灣，我只是講臺灣現在的情況==
10,Nick Wang 死刑有什麼難的？你看新加坡有很難做到嗎？誰敢要求廢死直接送去新加坡教育！
11,Helen Chen 没4过所以不懂也有可能她不懂(4)这个字(4)的14
12,林玠賢 失败国是这样的做风。每一个国家都要有4行才会强
13,Chiu Chi Huang 又不是她儿子女儿亲人她那会心痛如果表面上会也是假假做戏给人民看
14,Chiu Chi Huang 跟聾子講話 她能聽到嗎
15,Chiu Chi Huang 已經讓全世界知道台灣了
16,Chiu Chi Huang 總統聽不到 有聽到 早就判死刑了！
17,Chiu Chi Huang 沒當過媽媽無法理解
18,"Jessica Ting 蔡英文本來就沒當媽了,為什麼沒當媽就543??你這是歧視喔"
19,林玠賢 因為這層 只有那位在幫犯人講人權⋯
20,Li Ta 我沒有特定的說人權的，不過這次事情對於所有人來說是真的很難過的，最希望的是政府除了還死者家屬一個公道外，也希望以後政府也能監督台灣的法官，不再有什麼有教化可能來輕判（當然是希望以後別再有兇殺案是最好的）
21,陳信良 就大選時咩  然後再開恩釋放一些快出獄的受刑人
22,郭柏劭 一旦做出不是人該做的事  就沒有資格講究人權！要求人權！
23,林玠賢 講人權的是這位⋯你好像回錯人了
24,Chiu Chi Huang 總統只在乎歐美，因為現在歐美才可以幫助台灣，只吃軟柿子又在那邊跟人民伸手要錢，訂定的法案又很鳥，不對法律對症下藥，無理要求特別的多！
25,Chiu Chi Huang 有聽到的話就不用失去這麼多條人命 台灣不止這一件悲劇 就好比小燈泡那件遭遇就好 台灣政府怎麼處理的 他們也不會聽到更不會死刑 因為不是自己家人受害 🤔
26,Li Ta 宋神1996年就預言人心才比武肺更黑😈😈 
27,民調低的時候就可以拿來提款
28,人權適用在每個人身上 包括犯人
29,Nick Wang 想的這麼簡單的不只我而已！台灣法律如果夠嚴  我們也不用在這邊討論總統的權限了
30,Li Ta 要執行死刑不是妳想的那麼容易喔！
31,Chiu Chi Huang 她没當過媽？不懂吧！
32,Chiu Chi Huang 小燈泡那時蔡總統怎說的，官字2張口，今日公祭明日忘記，這幾年來台灣一直不判死刑，命案提升，說句實在的這次事情真的很讓人難過，讓人很沮喪，雖然我不喜歡大陸，但大陸執法死刑確實比台灣有效許多，廢死聯盟整天說廢死提倡人權，但被殺的人他們的人權在哪？
33,Chiu Chi Huang 要是聽到  早就執行死刑了！
34,心如刀割真的難以形容.看了真的很難過
35,陳麗安 唉⋯台灣是爸媽心中永遠的痛啊
36,陳麗安 真的，难以形容😭
37,台灣法律太輕，恐龍法官太多了，也因為廢死的關係難替受害者伸張正義，身為台灣人民真的感到很痛心，台灣對不起你們，沒保護好你們的孩子，真的很抱歉
38,送去大馬讓他們審判吧～留在台灣一樣沒事
39,没有这种引渡的，要犯人是在马来西亚犯罪才能引渡，唉 听到这种哭声 我都很难过
40,宋秀玫 先鞭刑再死刑
41,Lau TsunKit 沒辦法，不能處理就交給別人處理，這是最好的選擇，不要一子寄託不能處理的人身上，只會讓事情更複雜...
42,宋神1996年就預言人心才比武肺更黑😈😈 
43,宋秀玫 整個感覺台灣司法無能😓香港人在台灣殺人還可以到台灣來投案逃死刑🤬
44,Lau TsunKit 拜託馬來西亞政府把他引渡回國受刑⋯⋯我想看！
45,宋秀玫 马来西亚有鞭刑死刑，台湾法官怎么舍得？
46,看到哪位妈妈哭到心很痛啊
47,是啊真的是无奈
48,Wong Jennifer Wong 沒人性的是台灣法官跟那人渣！不是針對馬來西亞⋯而是就算發生這種事 死的是台灣人  法官一樣不會判死  這是我們人民的無奈與擔憂⋯😢
49,直的進來橫的出去天理難容白髮送黑髮情何以堪
50,同為人母淚亦止不住
51,聽到媽媽哭聲，不自覺難過起來
52,唯一的獨生女，就這樣沒有了，誰不難過
53,Lucy Cheng 聽到媽媽撕心裂肺的哭
54,Lucy Cheng 跟著一起流淚。。😭
55,高秀美 真的，父母ㄧ輩子無法忘記的痛
56,Lucy Cheng 
57,鍾媽媽，我們不會說加油、也不會說堅強，哭吧！把心疼都哭出來，不要忍......
58,把女兒養這麼大，不容易啊
59,羅雯鍬 宋神1996年就預言人心才比武肺更黑😈😈 
60,警察就是這樣有人已經發生過這樣了、也不通報在比較沒人的道路有學生必經路線也不加強巡邏或設崗哨、等到出人命才再亡羊補牢都為時已晚
61,台灣司法已死，只剩司法恐龍🦖
62,台灣的治安和法律早就出問題希望這次政府可以面對問題
63,媽媽寶貝寶貝親骨肉心疼啊~媽媽哭吧身體跟爸爸都要保重身體照顧好心痛爸媽~一命抵一命
64,台灣司法早名存實亡了，千萬不要有多大希望…
65,台灣重大刑案的法規太鬆懈了，必須強制下架廢死聯盟讓嚴厲的法規強勢回歸落實執行才是正確做法，不然真的丟臉丟到國際去了
66,哪裡丟臉?丟臉的是養出垃圾的家庭和嫌犯
67,小迪林 說這個話就不對囉，民進黨曾主張廢死，但把兩公約入法讓法官受限不能判處死刑的卻是國民黨，那請問妳要熱愛哪個政黨？
68,台灣的法律及判刑太輕！以致犯罪上升！真的很可悲！人民該覺醒！這樣的社會！還自我感覺良好！
69,很抱歉，沒有保護好孩子，心很痛，這是我們國家法治問題，需要慎重考慮修法
70,身為台灣人不是丟臉的事但因此事件登上國際版面實在的可恥！ 對馬來西亞的家屬非常的對不起 希望家屬能堅強活下去化悲憤為力量 對不起～
71,目前台灣的法官對於案件的判刑原則是以刑法為基礎，但自由心證卻主導判刑結果，所以只要法官一句（有教化之可能）或凶嫌在法庭上掉兩滴眼淚裝可憐裝無辜，再加上跟法官說我很後悔對不起被害人及家屬，法官幾乎百分之百不會判死刑，對被害人及家屬情何以堪阿！
72,看到妈妈哭到撕心裂肺，好难过啊
73,還是送馬來西亞，審判，對台灣司法沒信心
74,政客立委們，你們看到了嗎?有提案修法嗎?這樣的案例發生了多少次了，但這也不會是最後一次
75,傅兆源 很難喔 只有要賺人民的錢 他們才會趕快修法 大家要保護好身邊的親人
76,等著看是哪個法官辦 法官的小孩如果送出國讀書遇害 您希望怎麼判
77,送馬來西亞判刑吧！
78,不可能 可教化 台灣法律 習慣了 假如每次都殺到 法官的兒女 看他會不會可教化
79,夏雨晴 宋神1996年就預言人心才比武肺更黑😈😈 
80,聽到媽媽哭聲，同樣做媽媽的我心都碎了好心疼
81,看一次哭一次，真的很心痛
82,爲什麼要這樣對馬來西亞的人民，因爲你讓一個家庭破碎
83,希望您女兒的犧牲能喚起台灣法官的良知。
84,不可否認，或許因為績效考評設計，造或不少警局消極辦案。
85,政府 有聽到 做一個媽媽的哭聲嗎
86,希望台灣的法官不要讓身為人母的人失望
87,殺哪裡的人就送去哪裡判刑 因為台灣在嚴重的罪都只有教化 頂多賠錢嚴重關到老 還不是一樣人民要養那些人到老 台灣司法已死很久了 只剩恐龍法官 那些法官沒有經歷過失去的痛 都覺得那些殺人的人可教化🙄 
88,長的安全不代表台灣安全
89,如果馬來西亞有絞刑 把嫌犯送過去給他們處置 台灣法律爛死了
90,"如果之前差點被夾持沒被吃案,或許就不會發生這樣的憾事"
91,Alex Chen 認同你的留言！一開始就有報案了是這疏失！一開始可以加強防範的！法官審判是最後結果判什麼大家都知道！很遺憾沒有給受害者跟前一個一樣脫逃的機會死裡逃生！太對不起人家了
92,Is Taiwan safe to foreigner's?????😵😵😵
93,台灣已經司法無能了
94,痛心疾首，无法形容。。。
95,聽到媽媽難過的聲音。不自覺的感到難過
96,雖然很難過一件事情
97,不知要經過幾審幾判多少年才能定讞?一堆沒肩膀的法官。不會死刑的。
98,如果能送去馬來西亞就好了
99,我是台灣人，但我希望能交給馬來西亞國家判刑~~~別給台灣判刑，因為我希望是絞刑~~
100,司法要改革不適任法官應下台
101,希望台灣高層能有腦一點，該恢復原有的死刑，至少犯罪的人會少一點，現代經濟不好犯罪率高，犯罪的人都想說又沒死刑頂多被關吃免錢飯，進去不用煩惱生存久後又可出獄乾脆先給政府養，台灣高層真的該認真想想，因為只要是人都怕死
102,整個台灣因ㄧ個人   對不起馬來西亞   實在是  丟臉丟到國外去了
103,牠們是大陸官方的網軍企圖挑起戰火小心喔都是人沒有分別希望司法還她一個公道台灣真的別在廢死了
104,曹強 结果这个人来当搅屎棍？
105,希望把嫌犯送到馬來西亞受審
106,就是有恐龍法官，難怪現在殺人事件特別多🤬
107,司法真的要改革了，犯罪率的高升，社會風氣的腐敗，都是跟司法息息相關的。
108,台湾无情，家乡有情！家乡儿女归家乡！
109,希望馬來西亞政府向台灣施壓讓罪犯實施死刑，台灣的悲哀
110,哎哟这样以后精神问题的到处砍人都不会背叛死刑嘛对不对？关个几十年监考出来又是一个好汉了嘛？对不对？
111,大人看這裏!社會再也不用那麽累大
112,支持馬來西亞政府把牠引渡回國受刑⋯⋯
113,替您女兒報仇吧，租一台車，撞死兇手，再喝口烈酒，這樣一來您不但沒事還能報仇。
114,蔡英文不就是主張廢死的最高領導？ 現在犯罪率那麼高 逛個街就能撿到槍一樣 毒品也氾濫 詐騙更是全球之冠  酒駕也是沒人在怕罰款
115,殺人  就是判死刑  沒有教化的機會這種選項……除非好人誤殺就是有教化的機會。台灣司法 政府拜託你們 殺人就是判死 ！民進黨   蔡總統  您聽到了嗎   死刑才不會浪費國家資源跟無辜的人受害…… 也還給家屬一個交代 。
116,送去馬來西亞審判給父母親一個交待該死就要死。
117,台灣司法像大便一樣，殺人不用償命，真是犯罪天堂，死刑也不執行，媽的爛黨。
118,台灣不是只有馬來西亞的案例，之前有殺父母的，殺女友，殺小孩的，殺嬰兒的，有被判死刑嗎，沒有，都判很輕，法官都看自己的心情，每一個都可教化，放出來又出事，法官沒責任。
119,我建議直接死刑 真的是一顆老鼠屎壞了整鍋粥 整個台灣因為一個廢人 讓馬來西亞對台灣感觀不加 死刑吧廢物
120,不懂給性侵 強盜 虐童 有蓄意性的殺人犯談什麼人權 還要浪費納稅人的錢給他飯吃 還要監獄管理他 還讓家屬因判刑不公心理二度傷害 如果證劇無慮  浪費這麼多時間 金錢 人力 在這種比屎不如的髒東西上 為什麼不直接 給他死 來降低社會成本 反而要虛耗社會資源 而維護他不該有的操你媽人權
121,台灣司法爛到藍綠不挺..唉
122,憑什麼教出這種敗類完全不用負責？ 不是成長過程家庭教育失敗會造成牠成年之後的嚴重偏差？ 說不用負責的等你家人被姦殺再來嘴啦！
123,性侵進而造成女子死亡者，一律絞刑。
124,希望台灣能重啟死刑，製造悲劇的人越來越多，因為罪犯都沒在怕的，酒駕、隨意殺人再怎麼預防再怎麼宣導都沒有用，只有威脅到這些犯罪人生命的時候，也許才有真正停止的一天。
125,台灣要是不敢判死，那就好心一點，把那個人渣兇手交給馬來西亞判刑吧！
126,敗類的父母啊，你們的一句 毀西類，她回得來嗎，台灣司法不公正，千萬別說自由民主，為什麼都不是政府高層官員和立法委員的家屬受害呢，不廢死全台民眾就等死吧。怎麼被殺死都能可教化還全台納稅人供養呢。
