,COMMENTS
0,对不起，这位妈妈，恐怕要你失望了。在那个国家公道只会在人心而已。司法是不可能给你一个合理的公道的。恐龙法官宁可惹众怒，也不可能下判死刑的。只会告诉你，政府是不会执行的。死脑筋，人权？在被告剥夺别人的生命权，侵犯别人的人权时，他就丧失了本身的人权。凭什么他们可以扼杀死者的人权，而你们去维护罪犯的人权了。
1,台湾法律一定要变，一定要严厉对付这种杀人犯！
2,台湾法律一定要，严厉对付这种杀人犯！！😤😤😤
3,Carmen Ng 是不对的行為
4,Carmen Ng 那里可以这样，大家都不怕可以繼續干壞事
5,長榮大學，全馬人都得記得校方的無能，  希望想到外留學的學生慎重考慮，臺灣已經不是十年前的臺灣，現在的臺灣很危險。校方的忽視，檢察官的懈怠，法官的不作為，人民的無差別殺人。這一切都得記清楚了！笑著去留學，回來可能就裝罐子裡了！我不是散播恐怖，但是今年已經是第二宗馬來西亞女子在臺灣被獵殺！希望我國能看重國人的安全，做出有程度的譴責！
6,Kelly Xu 他也沒敢回我，他們這種人就是愛亂扣帽子，我言論裡面並沒有涉及兩岸問題，他們就愛把個別案件上昇到兩岸問題。
7,Tan Kok 通过你的言谈，很明显看得出你是这种无理搅三分的闲杂人，在网络被炮轰了还在给自己解脱耍赖，实在是给你的国家丢脸！先前看你讲话还有几分礼貌我才礼貌的回答你，如今看到你这样的答复，让我感觉到一副狗急跳墙的模样……你还是洗洗睡吧……
8,Tan Kok  你敢来马来西亚，我想你也会被炸飞！来吧～welcome to Malaysia~
9,Kelly Xu 那么Mongolian 女郎在马来西亞被殺也可以叫马国人“马狗还命来“！快啊～
10,Tan Kok  杀人必须偿命！管你什么程序？不然要法律摆美的？一单接着一单，一个国家连法律都漏洞百出，怎么给世界一个交代？法律定刑实行判决根据犯罪事实的轻重，倘若情节严重，证据确凿，应该定量而行！给社会一个公平的交代，也给那些受害人家属一个交代……不对吗？
11,Kelly Xu 你是法律人嗎？還是法律系的？別在那裡不懂裝懂好嗎？司法審判是有一個程序的，不是假假作戲就可以。犯人也要有專業的官方專家鑑定才行。每個國家都因國情不同而有自己的憲法及法律。很多人說的“可教化“是屬於個案，不能以偏概全。再說台灣內部也有很多人反對。
12,Tan Kok  你可知道一个国家良好的法律才可以保护国民，让国民生活在一个安全的国家！正是因为台湾存在着这样的法律漏洞，一种模凌两可，得过且过，过于人道的偏差法治，才会引导出这一系列不该发生的惨剧！因为没有法律的严格约束，给犯罪人提供了更好的作案机会，不管杀人，分尸，还是强奸……只要犯案后认错态度良好，假假作套戏博同情就可以被教化免于死刑！这是什么逻辑？不管是什么法治，除了正当防卫之外，蓄意谋杀案都是一命抵一命！没有理由！没有借口！国家不加以严惩这种案件，今后就会有更多的受害者出现！台湾就会变成世界上令人唾弃的国家！
13,Tan Kok 你知道民进党高官在中国有多少财产吗？双面人做的比中共还厉害
14,Tan Kok 哎brother是你先开始扯别的我才和你乱扯的好不好？ 你是从哪里看到我说台湾哪样哪样又哪样了。。 还有，难道只有你知道废死没通过吗 ？新闻不是只有你看， 别人也有在看🙃 无语你扯中国你就说是胶，一开始楼主说的就是这件事你偏偏开始东扯西扯话不对题，到底谁有问题？ 台湾媒体关心这件事我不眼瞎我也知道，我也没说别人不好，你矛不矛盾 （傻眼
15,INee Yi 是你不懂又爱扯。胶，你有脑袋而不思考，不懂又不好好問，要怪谁？你知道台湾的司法还沒有“废死“嗎？你知道台灣还沒通過“废死“是因為很多人反对吗？
16,Tan Kok 这个事情不是在讨论着这件刑事案件？高潮什么？其实没有人在帮中国讲话，也没有人不信你说的话。楼主也只是在批评台湾的司法不公，关中国什么事？你不是觉得台湾是独立的个体不是中国的吗？人家也只字未提中国的好，也不懂楼主讲了这些批评台湾司法的言论戳中你哪边的点，就在那边讽刺然后扯到别的国家，你也可以睡久一点☺️
17,那个哈哈哈哈哈哈哈哈哈哈按你这么索民进党媒体有关心大马华人？？？肯定是事情发生了才发布啊 你也可以睡久一点 到底这件事关中共什么鬼 又关肺炎什么事 你真的很爱扯
18,Lee Sun 哎哟那还真不是这样 你看看楼上吵的什么鬼 不可以骂台湾哦不然是blablabla
19,Stephanie Lee 中共官方媒體從來就沒有在關心過大馬華人，不信你去查。現在是因為台灣出事才報，你以為是為了我們華人，你可以再睡久一點。
20,Weiyee Seh 只有民进党才辦法抵抗中共，不然台灣早就被武漢肺炎攻下，每天要MCO了。你還在睡? 中国武漢肺炎害了多少人失業，多少人活不下去。你還不快去感謝中共。
21,Isaac Kang 在你的祖国不会被杀而是会被自杀，被活摘器官。
22,Tan Kok 台湾已经被民进党改得不像样了！你还要帮台湾说话？
23,Lee Sun 你确定🤔🤔🤔🤔
24,Lee Sun 会安全过台湾
25,Guo Qiang Chai 不知道是要开心 还是伤心
26,Tan Kok wow这样都能扯到中国
27,"Tan Kok ， kan ni lao bu, 希望你是下一个。"
28,Jason Ching 放心吧你长得挺安全 ❤️❤️
29,Anna更馬來西亞也是有這種事情
30,臺灣什麽都ok就是司法成問題廢死就是最大的問題別跟我說永生坐牢對他們是一種折磨、不見得
31,Tan Kok 如果是你的女儿，你有怎样的感觉？
32,台湾人可以大骂台湾司法，大马人也可以大骂台湾司法，中国人也可以大骂台湾司法
33,一个只会强词夺理的酸民，不但连基本做人的尊严都没有!!只会顺自己的意，不顾他人的感受，良心都说不上了!!和加害者没有什么分别，只能说自作孽不可活!!👎
34,Guo Qiang Chai 我很危险
35,殺人犯不會先問你是哪國人，只挑警覺性低的
36,Isaac Kang Isaac Kang 我是要跟你說，殺人的那個犯人，已被收押禁見。台灣司法應該會有動作，但你不應該說成“台灣人殺大馬人“，這樣說是不對，也是故意在散布仇恨。
37,Isaac Kang 我是要跟你說，殺人的那個犯人，已被收押禁見。台灣司法應該會有動作，但你不應該說成“台灣人殺大馬人“，這樣說是不對，也是故意在散布仇恨。
38,Ulva Gan 那你应該去跟你的祖国講
39,Sie Leong Ong 我不赞成你的言论就叫做“沒有良心“，你什麼时候变成良心的标準了。我反對暴力反對不公不義，犯人犯法本就应該被罰。死刑不是我們這裡说的算，你了解嗎？
40,Jason Ching
41,You Hong 我不会用新聞去認識一個国家。
42,Kelly Xu 废死是先進国家的趨勢，這个你应該知道。台湾应不应該废死，不是我們可以決定。废死不代表就沒有刑罰，无期徒刑也是一种刑罰。
43,Ulva Gan 那你叫席大大發行政命令來給我們台灣啊？叫武警像香港一樣來台灣進駐啊？來看看嘛！看看會不會沉在台灣海峽！
44,法律的问題在我国是死刑的
45,台湾司法有问题
46,Isaac Kang 应该評死刑，要不然同樣事情會發生😠
47,Isaac Kang 祖国那么安全你还不赶快滚回你的祖国去。
48,去新疆留学比较安全
