,COMMENTS
0,台灣治安愈來愈亂，該如何自保呢！每天都看到殺人的事，真是悲哀。但願人人都有自保，防身的能力。不要再有人受害了，很難過！😭
1,"Johnny Jiang 這麼愛統一,那就過來試試看...😡"
2,Adom Hsu 也许自备一把枪或者刀
3,Adom Hsu 统一可以彻底改造拯救台湾省
4,不會判死的啦，肯定是可教化。死的是別人的女兒，除非死的是法官的女兒，才會判死
5,"Ivan IL I’m so sad. Under jurisdiction of Taiwan, there have no punishment in death... I hope the girl can rest in peace, RIP.. "
6,Taiwan 原来是个不会处死坏人的国家。现在坏人肯定认为自己都有法官保护的，怕什么犯案和杀人
7,"Ivan ILTaiwan 是没有绞刑。under the jurisdiction of Taiwan , the murderers will not get the punishment in death sentence. Sad right ... 😞"
8,太扯了以後誰敢在路上走
9,Johnny Jiang 有病要盡快就醫
10,Johnny Jiang 又關你何事?
11,"盧晶晶 玻璃粉紅的病是絕症,醫不了的...😆"
12,盧晶晶 可是不统一 会越来越多随意奸 随便杀 分块装袋到处扔案件发生哦！
13,盧晶晶 统一可以彻底改造拯救台湾省
14,Rui Zhe 可是看回地图，还真是必经之路……
15,主要是燈光昏暗小道，盡量走人多光亮地方，繞路也沒關係，安全第一
16,可以請大法官釋憲～亂世祭重典
17,吳允中 想想也是
18,黄峻林 這種小事大法官不屑處理的，下一個！
19,Taiwan Police is a laughingstock n total disgraceful!
20,沒想到？？？電車上無差別殺人都發生過了。
21,連大白天走在路上都會了，還這種晚上沒路燈的
22,一樣不可置信阿
23,這次在在無罪，我建議我們去法院丟汽油
24,王小傑 你和 wei yu说吧，他说无罪，还有奖励
25,"Shroudy 丟完記得回報閣下人在哪裡,這樣其他想躍躍欲試的網友才能安心..."
26,"Chee Kong Tan 想太多,你去當地的公家機關丟汽油彈,看會有啥下場..."
27,Wei Yu 有这样的事～
28,Shroudy 丟糞便
29,我堵一千不死刑
30,Shroudy 我跟你賭十萬不會死刑
31,Shroudy 不但無罪，可能還會被獎勵
32,"這就是台灣的民主價值,這只是誤殺,所以不會判死刑"
33,我們是不要學泰國一樣上街抗議啊？不然我以後出門都要帶槍！
34,Shroudy 現在台灣是不是只有我沒槍啊？
35,Shroudy 贊成
36,長榮那個橋下的暗是伸手不見五指的那種暗，一點光線都沒有，根本不是燈光昏暗而已！
37,王佩蓉 统一可以彻底改造拯救台湾省
38,這次抄佛經還是可輕判
39,林運暉 不是喝酒吸毒睡不好就無罪了嗎？
40,判死刑又不執行 那有跟沒有也一樣
41,Tai Vi 我沒記錯的話，最幾年只有捷運無差別殺人案跟潑汽油燒死家人這兩個。
42,Tai Vi 現在已經有人在帶精障的風向，不過被害人是外國人，結果充滿變數。
43,張凱盛 垃圾司法，欺诈、骗子、捞黑天堂。。一堆颜色对的人，就有“免死金牌”
44,吳允中 在鲁一下，就精神疾病。。进院治疗，三年放出来做youtuber ➕ 线上治疗师
45,吳允中 對啊 真無言
46,張凱盛 撐一下搞不好改判無罪。
47,討論再多 司法不給力也沒用阿
48,台湾应该给马国一个交代！！！
49,就算判死刑，又怎样？台湾的监狱里有多少个死囚，被关了多少年，到现在还没执行！
50,MIlo Milo 台湾应该给马国一个交代！！！+1
51,Wei Yu 不会吧
52,Man Kit Phoon 可能會被判無罪
53,MIlo Milo 应该交代不了吧还可能轻判到不如将凶手送到马来西亚法官来判
54,拜託不要一直覺得台灣很安全，台灣法官就是一個最不安全的存在
55,个人不认为是国家的事情，如果有其他台湾公民看到肯定回帮忙，是那里的警察和政府人员的教育和管理不行，是应该让台湾警察喝政府上一课，以为是恶作剧？身为警察会用“以为”这个词？路那么黑都不舍得多加点路灯，发生事情了才搞到整条路亮到蚂蚁都看得见
56,九月底就一次了，學校應該要有警覺
57,请还马来西亚死者一个公道！！！
58,Wei Yu 那就是统一咯
59,MIlo Milo 你可以要求大陸開槍，台灣已對法官放棄
60,Be add more security guards and cctv  to secure safety all pedestrian. 1 minutes can happen anything in less secure.
61,台灣有法官？是用錢來判還是用理來判？
62,宜速審，速判，破壞國家形象，加重刑法，給死者家屬公道
63,建議把這則新聞做成 “ 英文版 ”。 讓國際各個國家註意臺灣的司法漏洞。如果政府不嚴重看待問題。臺灣的安全性將嚴重受到懷疑。來旅遊和留學的人會對臺灣有極度不好的印象。建議執行死刑。
64,還把死者相片放上大熒幕，做你們政治司法檢討？他媽的還是人嗎？事發到今天無數的推卸責任，拿這事件放大做你們台灣政治的課？題！凴什麼？真有一天台灣人在馬來西亞被先姦後殺，我們也學你講司法問題這樣可以嗎？過後再出來道個歉可以嗎？台灣人民你接受嗎？我奉勸你們真的不要進馬來西亞。
65,王小傑 如果受害者是你的家人，你有什么感想
66,Pascal Xiang 台灣哪裡得罪你了?有必要拉低台灣的國格?還有這是台灣內部的法治問題用不著別國插手干預...
67,Pascal Xiang 对
68,新•陳同佳
69,Le Viathan :台灣法律已死！來台灣求學愈來愈少！有教化！免死刑！
70,陳城本 今天這樣可能之後陸續有來，就是打擊台灣法治令人民冷淡嚕
71,Le Viathan :台灣之光！反送中之光！
72,台灣都是發生事故了才在媒體上分析檢討
73,台灣司法需要給馬來西亞一個公正！！！！！！！！！！！！！
74,同一條路已經有女學生反應 警方跟校方為什麼沒有重視 讓這樣的慘事發生 難道官員都只能坐在辦公室吹冷氣⋯
75,不夠嚴重的事通常都 ：關鍵的監視器剛好壞掉喔
76,9/30 警方沒重視這問題才會有現在這起案件！
77,Huang Jing Ya 我的看法和你完全一样！！！
78,台湾警察真烂 以为恶作剧？有事才出来处理 没事在看台剧啊 干安呐啦
79,Jael Lai 完全是看人，要不要處理事情的心態
80,法官：非預謀犯案有教化可能
81,Min Min 我們看看最後判決會不會在意料之中吧。
82,吳允中 他一定是被繩子教壞的我孩子很乖
83,Min Min 而且還是初犯，你看他還是個孩子啊。
84,如果殺人都有確實執行死刑，或許不會發生憾事
85,惡作劇到底是什麼概念？？？？？？？
86,葉濬 问得好！！！
87,現在台灣完完全全不安全了⚠️
88,最安全就是最危險
89,Think twice who want to sent Your kids study oversea. Taiwan is beautiful places but seriously Really disappointed regarding their law.
90,警察大意失荊州阿.........
91,這就是台灣該判死刑而不判的後果，亂世不用重典的後果，現在丟臉要丟到國外去了.......
92,台灣真的很安全以兇手的立場來說
93,台南市警察局在第一次就吃案明明是妨礙自由強制罪不辦，導致後續發展，如果當時積極法辦登記在案嫌犯會有顧忌有達嚇止作用，台南警察吃案的後果
94,劉道宝 應該追究吃案警員
95,安全到我以為有國定殺戮日
96,學生的環境安全被忽視，負責維護路燈的單位、明顯沒有盡責！人命比電費及維護費不職錢嗎？
97,為了省錢關路燈這個也很有事～～～
98,女生晚上走路要小心
99,台南治安一直就不好
100,"Delon Bong 對方可能留言刪了,所以你沒到詳細情形,不分青紅皂白進來砲,所以是誰有問題?"
101,"Delon Bong 要不是你的留言裡頭出現了“呸”這個帶有污辱性的字眼,我才爛的搭理你..."
102,王小傑 你的脑袋给门夹了，所以才觉得这件事是理所当然，没救了
103,王小傑 你没救了
104,"Delon Bong 以字面上來看,你的意思是指我的家人會出事的樣子?"
105,王小傑 你是不是傻，如果你家人是当事人，我看你比我还偏激
106,"Delon Bong 而且我的PO文也沒像你這麼偏激,充滿憎恨厭惡之感"
107,"Delon Bong 我不是在回覆你,要不要看一下"
108,王小傑 你确定理性看待？呸
109,王小傑 那就别对号入座 对你说并不表示指名你
110,Tony Ting 我理性看待一切事
111,王小傑 所以你被我激怒了吗
112,"Tony Ting 提醒你別用偏激言論留言,後果自負"
113,Tony Ting 不好意思我單身
114,王小傑 因为你女儿没被杀
115,"Lin Chen 我也台南人,我沒感受到治安變差"
116,這樣還有誰敢來台灣念大學呢？真是丟了台灣的臉
117,這種沒有人性的沒有辦法教化只能死
118,乾脆以後都視訊教學算了
119,台灣這治安 看來要超越印度了
120,"陈家乐 Taiwan 是没有绞刑。under the jurisdiction of Taiwan , the murderers will not get the punishment in death sentence. Sad right ... 😞"
121,所以很少遊客去台弯了，
122,別再讓外國人覺得台灣很安全，不管去了哪個國家和地方，都必須注意安全，深夜暗巷更是必須
123,本人也是去台灣留學 ， 衛生什麼都很好，什麼管理都很不錯，只是這個案件 什麼國家都會發生吧 😅
124,陈家乐 台灣的治安很好是來自於百姓本身的善良 但台灣的官員沒有認真重視類似案件（殺人者還可教化）長年下來會讓百姓對政府無法再信任⋯
125,王小傑 那就看法官的判決了～太多重大刑案最後頂多判無期，這是讓人詬病的問題～
126,"連榮港 嫌犯又不是大馬人士,沒理由把犯嫌引渡至國外受審"
127,Tung Wan T 放它出来“私了吧”。。何必浪费人力资源去审判垃圾呢。。
128,劉家煥 废
129,Jim Tai 对，我也恨死这个凶手也希望他一定要被判死刑
130,劉家煥 大家在討論的是，如果今天這個案件發生在馬來西亞，這嫌犯肯定逃不過一死。
131,Tung Wan T 其實也不是不會判死刑，而是台灣的法官很少判犯罪者死刑…
132,陈家乐  same 就是大马中国胶
133,Tung Wan T 是咯 不一命換一命 ， 壞人都不怕😢
134,Tan Jialek 重点是台湾会不会判死刑
135,有看過精神科當下有吸毒可教化、結案
136,问蔡傻婆，舔特烂普的 懒叫， 买军火 自己家的安全都保不住 ，还想跟中国对抗？白痴
137,台弯=印度
138,可教化、台灣之光!!😡😡😡😡😡
139,莊文宏 :確實是可教化！蔡英文總統之光！無罪釋放！台灣之光！民進黨之光！台灣年輕人之光！可教化！廢死联盟之光！
140,台灣是犯罪天國
141,他妈的敢对大马女大生下手，最好判他枪毙
142,殺人償命剛好而已啊
143,台灣哪裡安全？一堆行動搶手跟刀客，什麼時候被開被捅都不知道！
144,台湾=廢国
145,台灣殺人犯是真的很安全，絕對不會被叛死刑，甚至還可以叛無罪
